Language,Region,South Asia,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Europe & Central Asia,Sub-Saharan Africa,North America
German,South Asia,–,–,–,–,–,–,–
German,East Asia & Pacific,0,–,–,–,–,–,–
German,Latin America & Caribbean,0,0,–,–,–,–,–
German,Middle East & North Africa,0.403,0,0,–,–,–,–
German,Europe & Central Asia,0,0.004,0,0,–,–,–
German,Sub-Saharan Africa,0.974,0,0,0.223,0,–,–
German,North America,0,0.057,0.282,0,0,0,–
English,South Asia,–,–,–,–,–,–,–
English,East Asia & Pacific,0,–,–,–,–,–,–
English,Latin America & Caribbean,0,0.555,–,–,–,–,–
English,Middle East & North Africa,0.009,0,0,–,–,–,–
English,Europe & Central Asia,0,0,0,0,–,–,–
English,Sub-Saharan Africa,0,0,0,0.449,0,–,–
English,North America,0,0.003,0,0,0,0,–
Spanish,South Asia,–,–,–,–,–,–,–
Spanish,East Asia & Pacific,0,–,–,–,–,–,–
Spanish,Latin America & Caribbean,0.003,0.908,–,–,–,–,–
Spanish,Middle East & North Africa,0.908,0,0,–,–,–,–
Spanish,Europe & Central Asia,0,0,0,0,–,–,–
Spanish,Sub-Saharan Africa,0.927,0,0,0.742,0,–,–
Spanish,North America,0.001,0,0.015,0,0,0,–
Italian,South Asia,,–,–,–,–,–,–
Italian,East Asia & Pacific,0.002,–,–,–,–,–,–
Italian,Latin America & Caribbean,0,0.473,–,–,–,–,–
Italian,Middle East & North Africa,0.162,0,0,–,–,–,–
Italian,Europe & Central Asia,0.001,0,0,0,–,–,–
Italian,Sub-Saharan Africa,0.726,0,0,0.127,0,–,–
Italian,North America,0.002,0.233,0.002,0,0,0,–
